"X","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021","X2022","Min","Q1","Median","Mean","Q3","Max","StDev","Year.count"
"27-Jan",NA,NA,136.6979,124.4885,133.9583,119.2411,127.3479,130.749,135.65,119.2411,125.20335,129.04845,128.747116666667,133.155975,136.6979,6.40057654103649,6
"28-Jan",NA,NA,135.7573,124.7094,133.7135,119.0204,127.4729,129.7158,134.317708333333,119.0204,125.400275,128.59435,128.398216666667,132.714075,135.7573,6.10821406023616,6
"29-Jan",NA,NA,134.6885,124.2372,133.5104,117.7745,127.0938,131.426,135.13125,117.7745,124.95135,129.2599,128.121733333333,132.9893,134.6885,6.42323617677777,6
"30-Jan",NA,NA,135.4708,124.6854,133.1354,115.1934,127.3583,130.8653,135.545263157895,115.1934,125.353625,129.1118,127.784766666667,132.567875,135.4708,7.28731134470503,6
"31-Jan",NA,NA,135.8052,124.6104,132.7365,113.9298,127.0438,129.5479,136.28125,113.9298,125.21875,128.29585,127.278933333333,131.93935,135.8052,7.65514448607384,6
"01-Feb",NA,NA,135.7052,123.5573,132.3573,114.7733,126.8659,130.1573,137.073469387755,114.7733,124.38445,128.5116,127.23605,131.8073,135.7052,7.42263773863442,6
"02-Feb",NA,NA,135.7781,123.2313,132.3219,115.8264,126.3404,129.6875,NA,115.8264,124.008575,128.01395,127.1976,131.6633,135.7781,7.09723255529928,6
"03-Feb",NA,NA,135.1333,122.8708,132.3854,115.4766,125.6821,130.2031,140.427659574468,115.4766,123.573625,127.9426,126.95855,131.839825,135.1333,7.16908004774671,6
"04-Feb",NA,NA,134.9448,123.5094,131.5604,114.7,125.4074,129.3063,140.8625,114.7,123.9839,127.35685,126.571383333333,130.996875,134.9448,7.1294390316256,6
"05-Feb",NA,NA,135.1354,123.6811,131.6302,113.7863,125.1237,129.1442,141.138947368421,113.7863,124.04175,127.13395,126.416816666667,131.0087,135.1354,7.47419465398559,6
"06-Feb",NA,NA,134.9917,123.1229,131.2865,114.3495,123.8358,129.6573,140.852127659574,114.3495,123.301125,126.74655,126.207283333333,130.8792,134.9917,7.35678479294227,6
"07-Feb",NA,NA,135.8656,123.2167,131.4948,112.3833,120.3936,128.3844,140.978947368421,112.3833,121.099375,125.80055,125.289733333333,130.7172,135.8656,8.42347173169511,6
"08-Feb",NA,NA,135.6875,123.0385,131.524,112.0548,118.2337,128.3646,139.759574468085,112.0548,119.4349,125.70155,124.817183333333,130.73415,135.6875,8.77626041988652,6
"09-Feb",NA,NA,136.0271,122.6865,131.0781,111.1219,114.2247,128.9375,140.997894736842,111.1219,116.34015,125.812,124.012633333333,130.54295,136.0271,9.82095529582874,6
"10-Feb",NA,NA,135.751,122.3531,130.9594,111.6698,115.0213,128.6844,140.103125,111.6698,116.85425,125.51875,124.073166666667,130.39065,135.751,9.42118780083842,6
"11-Feb",NA,NA,136.5021,121.4604,131.2719,111.2376,115.582,128.3083,139.952127659574,111.2376,117.0516,124.88435,124.060383333333,130.531,136.5021,9.67381777736519,6
"12-Feb",NA,NA,136.4168,121.7438,131.4677,112.0347,113.3935,127.1573,140.392631578947,112.0347,115.481075,124.45055,123.7023,130.3901,136.4168,9.79935652846655,6
