"X","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021","X2022","Min","Q1","Median","Mean","Q3","Max","StDev","Year.count"
"02-Jan",NA,NA,3.067604,2.229062,1.926562,2.524737,2.546146,4.080745,5.79347368421053,1.926562,2.30298075,2.5354415,2.72914266666667,2.9372395,4.080745,0.763003381105396,6
"03-Jan",NA,NA,2.683125,2.201771,2.070417,2.593125,2.564894,4.29,5.64548387096774,2.070417,2.29255175,2.5790095,2.73388866666667,2.660625,4.29,0.799471938525091,6
"04-Jan",NA,NA,2.285312,2.17625,2.005208,2.494687,2.499053,4.392083,5.79663157894737,2.005208,2.2035155,2.3899995,2.64209883333333,2.4979615,4.392083,0.878018092771081,6
"05-Jan",NA,NA,2.225938,2.200833,2.03875,2.278421,2.495684,4.609674,6.01882978723404,2.03875,2.20710925,2.2521795,2.64155,2.44136825,4.609674,0.975395744157826,6
"06-Jan",NA,NA,2.454792,2.299263,1.968333,2.320625,2.477158,4.568125,5.61515789473684,1.968333,2.3046035,2.3877085,2.68138266666667,2.4715665,4.568125,0.942066774483989,6
"07-Jan",NA,NA,2.474583,1.997053,1.948438,2.372842,2.502396,4.630312,5.05936842105263,1.948438,2.09100025,2.4237125,2.65427066666667,2.49544275,4.630312,0.996938296195239,6
"08-Jan",NA,NA,2.626842,1.876354,1.838211,2.398526,2.578617,4.731354,5.06427083333333,1.838211,2.006897,2.4885715,2.674984,2.61478575,4.731354,1.06345566752413,6
"09-Jan",NA,NA,2.111562,1.868211,1.744,2.098817,2.550526,5.027579,5.03287234042553,1.744,1.9258625,2.1051895,2.5667825,2.440785,5.027579,1.23668704884732,6
"10-Jan",NA,NA,2.092812,1.78,1.817789,2.442,2.477447,4.756,5.10021052631579,1.78,1.88654475,2.267406,2.561008,2.46858525,4.756,1.11540940441526,6
"11-Jan",NA,NA,2.182917,1.731771,1.73875,2.488229,2.402316,5.124271,5.22115789473684,1.731771,1.84979175,2.2926165,2.61137566666667,2.46675075,5.124271,1.27218479434517,6
"12-Jan",NA,NA,2.230106,1.63125,1.764211,3.011042,2.37625,5.083978,5.03625,1.63125,1.88068475,2.303178,2.68280616666667,2.852344,5.083978,1.27450904363812,6
"13-Jan",NA,NA,2.027791,1.685312,1.662604,2.888542,2.364316,5.504947,5.23541666666667,1.662604,1.77093175,2.1960535,2.68891866666667,2.7574855,5.504947,1.45415747899458,6
"14-Jan",NA,NA,1.513333,1.655104,1.658854,2.928495,2.548298,5.112421,4.97442105263158,1.513333,1.6560415,2.103576,2.5694175,2.83344575,5.112421,1.36942754611213,6
"15-Jan",NA,NA,1.551667,1.691146,1.670208,2.826667,2.349579,5.03883,5.11670212765957,1.551667,1.6754425,2.0203625,2.5213495,2.707395,5.03883,1.32773459724431,6
"16-Jan",NA,NA,1.690937,1.622604,1.647292,2.689263,2.368617,4.880106,4.79739583333333,1.622604,1.65820325,2.029777,2.4831365,2.6091015,4.880106,1.25441603093627,6
"17-Jan",NA,NA,1.796526,1.580729,1.608437,2.825684,2.338958,5.142917,4.79736842105263,1.580729,1.65545925,2.067742,2.54887516666667,2.7040025,5.142917,1.35922783918627,6
"18-Jan",NA,NA,1.854688,1.505833,1.602632,2.962316,2.438632,5.357188,4.8386170212766,1.505833,1.665646,2.14666,2.62021483333333,2.831395,5.357188,1.4494399383459,6
"19-Jan",NA,NA,1.814062,1.426667,1.586979,2.821915,2.638021,5.298191,4.69340659340659,1.426667,1.64374975,2.2260415,2.59763916666667,2.7759415,5.298191,1.43885464937337,6
"20-Jan",NA,NA,1.794062,1.355,1.608229,3.157188,2.483958,5.477115,4.64557894736842,1.355,1.65468725,2.13901,2.64592533333333,2.9888805,5.477115,1.53442047009073,6
"21-Jan",NA,NA,1.824375,1.340208,1.607187,3.360104,2.940521,3.584444,4.72815217391304,1.340208,1.661484,2.382448,2.4428065,3.25520825,3.584444,0.968393673006748,6
"22-Jan",NA,NA,1.83125,1.306146,1.658854,3.610435,2.865417,3.487053,5.03,1.306146,1.701953,2.3483335,2.45985916666667,3.331644,3.610435,0.991084447264796,6
"23-Jan",NA,NA,1.945312,1.327292,1.601771,3.178085,2.997234,3.434375,5.35147368421053,1.327292,1.68765625,2.471273,2.4140115,3.13287225,3.434375,0.897270482392183,6
"24-Jan",NA,NA,1.939375,1.304896,1.68375,2.899368,2.931474,3.527813,5.59378947368421,1.304896,1.74765625,2.4193715,2.38111266666667,2.9234475,3.527813,0.863260911989803,6
"25-Jan",NA,NA,1.724149,1.229792,1.753021,2.979158,3.102632,3.577579,6.58640449438202,1.229792,1.731367,2.3660895,2.3943885,3.0717635,3.577579,0.944495870604155,6
"26-Jan",NA,NA,1.675833,1.239271,1.823438,3.569167,3.072105,3.555532,6.00395833333333,1.239271,1.71273425,2.4477715,2.48922433333333,3.43467525,3.569167,1.03056278927189,6
"27-Jan",NA,NA,1.53,1.243125,1.888542,3.263053,2.898842,3.653333,5.79614583333333,1.243125,1.6196355,2.393692,2.41281583333333,3.17200025,3.653333,0.99200917420625,6
"28-Jan",NA,NA,1.502083,1.261458,1.75625,3.514632,2.845789,3.633368,5.66322916666667,1.261458,1.56562475,2.3010195,2.41893,3.34742125,3.633368,1.04662560346305,6
"29-Jan",NA,NA,1.624167,1.246064,1.955368,3.418,2.924271,3.532812,5.74708333333333,1.246064,1.70696725,2.4398195,2.45011366666667,3.29456775,3.532812,0.970624704267652,6
"30-Jan",NA,NA,1.652979,1.219792,1.830521,3.176105,2.718958,3.641053,6.57393617021277,1.219792,1.6973645,2.2747395,2.37323466666667,3.06181825,3.641053,0.950286804741951,6
"31-Jan",NA,NA,1.279479,1.252396,1.861458,3.241053,2.902706,3.650104,5.20515789473684,1.252396,1.42497375,2.382082,2.36453266666667,3.15646625,3.650104,1.03710034516235,6
"01-Feb",NA,NA,1.408542,1.30875,1.957083,3.175684,2.828824,3.804896,4.94387755102041,1.30875,1.54567725,2.3929535,2.41396316666667,3.088969,3.804896,1.01273191306099,6
"02-Feb",NA,NA,1.547083,1.42375,2.097128,3.061458,2.791383,3.791354,NA,1.42375,1.68459425,2.4442555,2.452026,2.99393925,3.791354,0.925483223347241,6
"03-Feb",NA,NA,1.464792,1.259479,2.065833,3.307684,2.890105,3.815208,3.4836170212766,1.259479,1.61505225,2.477969,2.4671835,3.20328925,3.815208,1.03217196636079,6
"04-Feb",NA,NA,1.508229,1.276979,2.1125,3.352128,2.956489,3.858947,3.35885416666667,1.276979,1.65929675,2.5344945,2.51087866666667,3.25321825,3.858947,1.04019974474765,6
"05-Feb",NA,NA,1.564792,1.225789,1.988229,3.381158,2.835914,3.890737,3.33315789473684,1.225789,1.67065125,2.4120715,2.48110316666667,3.244847,3.890737,1.0565435845146,6
"06-Feb",NA,NA,1.394167,1.245417,2.136632,3.354737,2.946277,4.089167,3.33212765957447,1.245417,1.57978325,2.5414545,2.52773283333333,3.252622,4.089167,1.12955363084015,6
"07-Feb",NA,NA,1.405521,1.324792,2.181053,3.226979,3.021196,3.986979,3.39894736842105,1.324792,1.599404,2.6011245,2.52442,3.17553325,3.986979,1.06662060531494,6
"08-Feb",NA,NA,1.390937,1.335312,2.360625,3.467742,2.992921,3.81375,3.41553191489362,1.335312,1.633359,2.676773,2.5602145,3.34903675,3.81375,1.04781909728555,6
"09-Feb",NA,NA,1.506354,1.341042,2.258437,3.426875,3.013441,3.832187,3.41757894736842,1.341042,1.69437475,2.635939,2.563056,3.3235165,3.832187,1.02590969157212,6
"10-Feb",NA,NA,1.554062,1.503125,2.183913,3.451458,3.10046,3.950521,3.24739583333333,1.503125,1.71152475,2.6421865,2.62392316666667,3.3637085,3.950521,1.02627125638623,6
"11-Feb",NA,NA,1.562083,1.425521,2.303437,3.345158,2.97618,4.076875,3.19936170212766,1.425521,1.7474215,2.6398085,2.61487566666667,3.2529135,4.076875,1.04127096603481,6
"12-Feb",NA,NA,1.59,1.305729,2.46125,3.540421,3.022609,4.009375,3.22505263157895,1.305729,1.8078125,2.7419295,2.65489733333333,3.410968,4.009375,1.07198270465949,6
"13-Feb",NA,NA,1.541354,1.240208,2.404375,3.51125,2.785484,3.962396,3.20326315789474,1.240208,1.75710925,2.5949295,2.57417783333333,3.3298085,3.962396,1.07004091594937,6
"14-Feb",NA,NA,1.644316,1.248021,2.478333,3.67625,2.781647,3.83,3.32914893617021,1.248021,1.85282025,2.62999,2.60976116666667,3.45259925,3.83,1.0449516731454,6
"15-Feb",NA,NA,1.612553,1.253053,NA,3.300208,2.601596,3.845319,3.27114583333333,1.253053,1.612553,2.601596,2.5225458,3.300208,3.845319,1.09549477809924,5
"16-Feb",NA,NA,1.55625,1.250625,2.3895,3.618737,2.728191,3.968316,3.23822916666667,1.250625,1.7645625,2.5588455,2.58526983333333,3.3961005,3.968316,1.08441523594708,6
"17-Feb",NA,NA,1.561383,1.378958,2.545104,3.474681,2.789176,3.886563,3.39229166666667,1.378958,1.80731325,2.66714,2.6059775,3.30330475,3.886563,1.00285261030099,6
"18-Feb",NA,NA,1.406354,1.512812,2.638646,3.09086,2.779341,3.782632,3.6690625,1.406354,1.7942705,2.7089935,2.5351075,3.01298025,3.782632,0.92246636751087,6
"19-Feb",NA,NA,1.537083,1.621458,2.742604,3.058211,2.668085,3.885833,3.71105263157895,1.537083,1.88311475,2.7053445,2.58554566666667,2.97930925,3.885833,0.891558043045021,6
"20-Feb",NA,NA,1.661895,1.493437,2.499896,2.390645,2.536383,3.908526,3.59073684210526,1.493437,1.8440825,2.4452705,2.41513033333333,2.52726125,3.908526,0.856691268109969,6
"21-Feb",NA,NA,1.888958,1.520211,2.789158,1.481667,2.40044,3.744063,3.509375,1.481667,1.61239775,2.144699,2.30408283333333,2.6919785,3.744063,0.869629459314579,6
"22-Feb",NA,NA,1.815,1.41551,2.8025,1.593646,2.467778,3.678602,3.732,1.41551,1.6489845,2.141389,2.295506,2.7188195,3.678602,0.859949014638426,6
"23-Feb",NA,NA,1.500105,1.426667,2.745,1.452421,2.509111,3.571684,4.07462365591398,1.426667,1.464342,2.004608,2.20083133333333,2.68602775,3.571684,0.885534726664215,6
"24-Feb",NA,NA,1.487083,1.214375,2.662917,1.669167,2.759012,3.606211,4.21968421052632,1.214375,1.532604,2.166042,2.2331275,2.73498825,3.606211,0.922943369597453,6
"25-Feb",NA,NA,1.569063,1.237812,2.531368,1.599263,2.440745,3.615625,4.090625,1.237812,1.576613,2.020004,2.165646,2.50871225,3.615625,0.877433536133649,6
"26-Feb",NA,NA,1.568229,1.286771,2.903646,1.701667,2.426489,3.557053,4.22242105263158,1.286771,1.6015885,2.064078,2.2406425,2.78435675,3.557053,0.878584601524463,6
"27-Feb",NA,NA,1.523958,1.314271,2.789167,1.502688,2.502105,3.335521,4.22315789473684,1.314271,1.5080055,2.0130315,2.161285,2.7174015,3.335521,0.830252093228798,6
"28-Feb",NA,NA,1.665938,1.289792,2.845417,1.654105,2.798696,3.182421,4.04585106382979,1.289792,1.65706325,2.232317,2.23939483333333,2.83373675,3.182421,0.792785151515697,6
"01-Mar",NA,NA,1.632708,1.155938,2.603229,1.180104,2.55033,3.298437,4.03778947368421,1.155938,1.293255,2.091519,2.07012433333333,2.59000425,3.298437,0.876670516155452,6
"02-Mar",NA,NA,1.710625,1.061368,2.782737,1.676146,2.264947,3.305417,3.9275,1.061368,1.68476575,1.987786,2.13354,2.6532895,3.305417,0.818491223365529,6
"03-Mar",NA,NA,1.687604,1.109687,2.820417,1.834271,2.553158,3.164105,4.12854166666667,1.109687,1.72427075,2.1937145,2.19487366666667,2.75360225,3.164105,0.777697679351473,6
"04-Mar",NA,NA,1.564479,1.196105,2.740625,1.236421,2.67125,3.178125,4.45416666666667,1.196105,1.3184355,2.1178645,2.09783416666667,2.72328125,3.178125,0.86586718675012,6
"05-Mar",NA,NA,1.643021,1.239896,2.849792,1.737368,2.540729,3.238958,4.80541666666667,1.239896,1.66660775,2.1390485,2.208294,2.77252625,3.238958,0.782738850771316,6
"06-Mar",NA,NA,1.747604,1.291146,2.638333,1.262708,2.494896,3.021458,4.79610526315789,1.262708,1.4052605,2.12125,2.07602416666667,2.60247375,3.021458,0.744428196585921,6
"07-Mar",NA,NA,2.025789,1.218229,2.754583,0.7996842,2.513723,2.932553,4.7834375,0.7996842,1.420119,2.269756,2.0407602,2.694368,2.932553,0.865515170022386,6
"08-Mar",NA,NA,2.391875,1.319579,2.723229,0.9757292,2.461667,2.878333,4.75315789473684,0.9757292,1.587653,2.426771,2.1250687,2.6578385,2.878333,0.784790648580817,6
"09-Mar",NA,NA,1.807187,1.400417,2.862842,1.019688,2.469255,2.822688,4.82354166666667,1.019688,1.5021095,2.138221,2.0636795,2.73432975,2.862842,0.771345563183389,6
"10-Mar",NA,NA,1.833854,1.51375,2.879368,1.140208,2.377083,2.834574,5.4675,1.140208,1.593776,2.1054685,2.09647283333333,2.72020125,2.879368,0.715463098061784,6
"11-Mar",NA,NA,2.152842,1.602396,2.797188,1.03043,2.440421,2.960211,5.98072916666667,1.03043,1.7400075,2.2966315,2.16391466666667,2.70799625,2.960211,0.736449865787934,6
"12-Mar",NA,NA,2.286771,1.576875,2.855579,1.038646,2.468404,2.902105,6.43760416666667,1.038646,1.754349,2.3775875,2.18806333333333,2.75878525,2.902105,0.740064611341109,6
