"X","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021","X2022","Min","Q1","Median","Mean","Q3","Max","StDev","Year.count"
"02-Sep",0.2234375,0.8335106,0.4352083,NA,0.603913,0.3848889,0.2094792,0.319462365591398,NA,0.2094792,0.271449932795699,0.3848889,0.429985695084485,0.51956065,0.8335106,0.223101146882076,7
"03-Sep",0.26,0.6825,0.4329167,NA,0.569375,0.3233696,0.1888542,0.353440860215054,NA,0.1888542,0.2916848,0.353440860215054,0.401493765745008,0.50114585,0.6825,0.174061555668532,7
"04-Sep",NA,0.7139583,0.5293182,NA,0.5663636,0.3272222,0.1940625,0.388901098901099,NA,0.1940625,0.342641924725275,0.459109649450549,0.453304316483516,0.55710225,0.7139583,0.186414487175828,6
"05-Sep",NA,0.8811458,0.4737179,0.2555263,0.4038889,0.363617,0.1927368,0.405578947368421,NA,0.1927368,0.30957165,0.4038889,0.425173092481203,0.439648423684211,0.8811458,0.22274816590882,7
"06-Sep",NA,0.7448958,0.4667708,0.4387952,0.3357143,0.3177273,0.1898864,0.382842105263158,NA,0.1898864,0.3267208,0.382842105263158,0.410947415037594,0.452783,0.7448958,0.172926364631415,7
"07-Sep",NA,0.6538542,0.4395652,0.237766,0.3118947,0.3081053,0.2498947,0.368488372093023,NA,0.237766,0.279,0.3118947,0.367081210299003,0.404026786046512,0.6538542,0.144033252650588,7
"08-Sep",NA,0.5690625,0.4342857,0.2252083,0.3366667,0.3148421,0.5601075,0.361052631578947,NA,0.2252083,0.3257544,0.361052631578947,0.400175061654135,0.4971966,0.5690625,0.128273045933292,7
"09-Sep",NA,0.4936458,0.3991667,0.2297917,0.4664211,0.3120213,0.3769474,0.335625,NA,0.2297917,0.32382315,0.3769474,0.373374142857143,0.4327939,0.4936458,0.0909268194080063,7
"10-Sep",NA,0.4475,0.4076543,0.224382,0.4382292,0.2868132,0.4793548,0.342,NA,0.224382,0.3144066,0.4076543,0.375133357142857,0.4428646,0.4793548,0.0937745331931127,7
"11-Sep",NA,0.4701042,0.4288235,0.2148352,0.546,0.3091954,0.6028723,0.346979166666667,NA,0.2148352,0.328087283333333,0.4288235,0.416972823809524,0.5080521,0.6028723,0.13634803090392,7
"12-Sep",NA,0.6097917,0.5380233,0.2176667,0.5043158,0.3110417,0.5612766,0.339893617021277,NA,0.2176667,0.325467658510638,0.5043158,0.440287059574468,0.54964995,0.6097917,0.149089109309079,7
"13-Sep",NA,0.6208333,0.5834409,0.2165625,0.4881053,0.3302151,0.4850526,0.313473684210526,NA,0.2165625,0.321844392105263,0.4850526,0.433954769172932,0.5357731,0.6208333,0.150194299929458,7
